ASV	SOT22-A-t0-euk	SOT22-B-t0-euk	SOT22-C-t0-euk	SOT22-P1-t1-euk	SOT22-P1-t2-euk	SOT22-P1-t3-euk	SOT22-P1-t4-euk	SOT22-P1-t5-euk	SOT22-P1-t6-euk	SOT22-P1-t7-euk	SOT22-P1-t8-euk	SOT22-P1-t9-euk	SOT22-P10-t1-euk	SOT22-P10-t2-euk	SOT22-P10-t3-euk	SOT22-P10-t4-euk	SOT22-P10-t5-euk	SOT22-P10-t6-euk	SOT22-P10-t7-euk	SOT22-P10-t8-euk	SOT22-P10-t9-euk	SOT22-P11-t1-euk	SOT22-P11-t2-euk	SOT22-P11-t3-euk	SOT22-P11-t4-euk	SOT22-P11-t5-euk	SOT22-P11-t6-euk	SOT22-P11-t7-euk	SOT22-P11-t8-euk	SOT22-P11-t9-euk	SOT22-P12-t1-euk	SOT22-P12-t2-euk	SOT22-P12-t3-euk	SOT22-P12-t4-euk	SOT22-P12-t5-euk	SOT22-P12-t6-euk	SOT22-P12-t7-euk	SOT22-P12-t8-euk	SOT22-P12-t9-euk	SOT22-P2-t1-euk	SOT22-P2-t2-euk	SOT22-P2-t3-euk	SOT22-P2-t4-euk	SOT22-P2-t5-euk	SOT22-P2-t6-euk	SOT22-P2-t7-euk	SOT22-P2-t8-euk	SOT22-P2-t9-euk	SOT22-P3-t1-euk	SOT22-P3-t2-euk	SOT22-P3-t3-euk	SOT22-P3-t4-euk	SOT22-P3-t5-euk	SOT22-P3-t6-euk	SOT22-P3-t7-euk	SOT22-P3-t8-euk	SOT22-P3-t9-euk	SOT22-P4-t1-euk	SOT22-P4-t2-euk	SOT22-P4-t3-euk	SOT22-P4-t4-euk	SOT22-P4-t5-euk	SOT22-P4-t6-euk	SOT22-P4-t7-euk	SOT22-P4-t8-euk	SOT22-P4-t9-euk	SOT22-P5-t1-euk	SOT22-P5-t2-euk	SOT22-P5-t3-euk	SOT22-P5-t4-euk	SOT22-P5-t5-euk	SOT22-P5-t6-euk	SOT22-P5-t7-euk	SOT22-P5-t8-euk	SOT22-P5-t9-euk	SOT22-P6-t1-euk	SOT22-P6-t2-euk	SOT22-P6-t3-euk	SOT22-P6-t4-euk	SOT22-P6-t5-euk	SOT22-P6-t6-euk	SOT22-P6-t7-euk	SOT22-P6-t8-euk	SOT22-P6-t9-euk	SOT22-P7-t1-euk	SOT22-P7-t2-euk	SOT22-P7-t3-euk	SOT22-P7-t4-euk	SOT22-P7-t5-euk	SOT22-P7-t6-euk	SOT22-P7-t7-euk	SOT22-P7-t8-euk	SOT22-P7-t9-euk	SOT22-P8-t1-euk	SOT22-P8-t2-euk	SOT22-P8-t3-euk	SOT22-P8-t4-euk	SOT22-P8-t5-euk	SOT22-P8-t6-euk	SOT22-P8-t7-euk	SOT22-P8-t8-euk	SOT22-P8-t9-euk	SOT22-P9-t1-euk	SOT22-P9-t2-euk	SOT22-P9-t3-euk	SOT22-P9-t4-euk	SOT22-P9-t5-euk	SOT22-P9-t6-euk	SOT22-P9-t7-euk	SOT22-P9-t8-euk	SOT22-P9-t9-euk
ASV_00011	0	9	0	9	7	21	383	494	1655	429	493	587	79	14	15	111	586	1342	5502	11934	19328	49	24	39	118	235	626	454	142	123	40	29	38	335	492	576	0	1170	531	49	14	24	98	377	1338	1426	6199	7621	13	31	22	37	379	1350	611	2165	854	5	18	130	188	667	1452	1533	2152	3809	16	17	16	13	483	1158	2912	284812	14745	0	13	6	37	242	3111	4317	12	24140	59	31	60	115	278	1018	472	0	1167	20	18	179	1092	38	7	36	3	115	0	25	53	191	537	3096	676	170	35
ASV_00012	2	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00013	102	91	161	200	433	934	5329	2633	2380	2451	1434	315	652	149	168	620	6810	2514	3477	2043	2406	767	341	566	1985	3254	2004	2242	509	808	658	525	1444	5160	2957	2623	2	8029	15591	105	178	360	1047	1631	5935	2395	1593	1424	243	350	504	1028	4626	4025	1720	2226	832	220	303	2109	5529	4986	2839	3054	1305	1172	435	202	148	72	3250	7237	5045	171075	4937	135	167	272	389	801	4095	5858	1	3088	316	178	1008	2637	4555	3490	1825	6	125	208	347	1169	5716	6774	4708	5517	5	123	124	509	1251	4622	5791	4634	3797	2757	497
ASV_00014	49	56	188	601	1679	3621	12	44	39	109	127	91	960	229	1964	5296	6750	5930	3072	836	383	1235	610	2351	4727	364	21	20	33	158	2087	2412	5942	2300	437	209	0	27	18	141	948	4056	8653	16926	9314	4930	1561	105	392	1490	2719	1345	1260	821	1495	6075	906	557	1240	5638	1900	494	2988	667	25	0	431	442	2573	1151	12005	9056	9535	113773	1759	347	754	1655	7616	5826	9283	8472	9	1902	611	651	1096	126	200	271	885	0	1747	412	703	3423	8502	4678	1174	6076	0	3630	319	1002	3745	4322	626	175	159	253	359
ASV_00015	2059	1540	1717	1528	1346	2367	1640	299	24	32	41	10	2823	296	935	1552	6424	3135	5774	3279	3305	5042	1114	2978	7289	4496	1317	1039	269	402	3625	1448	4149	4857	2817	667	0	22	49	1013	377	795	1696	9242	7455	7284	9939	5982	1887	1017	4186	4301	7793	4497	1689	1214	261	1524	957	6625	6080	4934	2056	139	86	42	1790	411	879	117	2736	3374	2442	87527	1634	1746	546	451	1616	1502	5395	6872	10	3133	1364	781	1056	95	40	18	11	2	8	1232	916	5458	14541	12468	7862	23483	7	1039	791	1508	5182	5870	1806	753	291	68	27
ASV_00016	5478	4405	3187	10260	3372	2283	2046	2387	201	36	44	22	21065	4027	4312	35	0	0	0	0	0	25194	5555	2411	606	1	7	14	4	8	28392	3946	1290	197	82	15	0	0	24	7248	3953	2843	86	6	4	0	0	0	13160	3491	1431	118	57	63	13	6	0	8825	3321	4029	109	59	22	2	11	0	12236	2475	3801	351	0	0	0	7	0	8633	5275	2002	393	0	0	2	0	0	15178	5289	6075	626	37	142	183	2	99	9493	3088	2146	156	18	91	202	0	403	6370	6200	2928	453	27	46	0	1	0
ASV_00017	160	179	783	123	250	228	142	46	7	62	50	0	1212	123	369	322	1037	928	2135	1418	1217	1244	182	443	1244	875	235	268	69	60	856	144	495	95	17	2	0	0	0	380	260	499	760	390	2294	904	2457	3348	314	170	130	115	472	229	432	708	132	268	168	776	94	0	0	13	16	9	417	112	408	152	1289	311	1807	31472	3092	87	292	230	571	454	1299	3710	1	4245	621	173	307	90	0	0	18	2	0	285	250	388	1660	782	3407	5106	7	2978	223	251	213	515	246	126	145	0	34
ASV_00018	0	0	0	0	0	0	10	1	10	2	6	21	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	6	0	0	0	1
ASV_00019	40	22	105	47	39	24	444	496	187	218	260	113	118	44	41	277	435	105	179	226	70	98	52	147	244	16	61	15	9	29	87	87	314	3093	10945	9132	0	1321	1334	55	19	83	92	144	40	22	33	3	101	39	169	208	14	5	0	0	0	117	65	164	437	2898	3532	960	2007	2035	72	64	132	47	2203	2766	5761	215748	2213	52	25	111	347	620	1213	1444	0	563	49	136	68	125	96	19	54	3	57	32	65	436	916	22	13	529	6	32	22	56	152	379	787	2826	759	356	78
ASV_00020	1642	1427	1437	3282	3284	1272	4579	2961	654	1031	1610	948	8644	1322	1288	753	1361	507	740	568	380	11154	2151	649	745	525	94	92	45	121	4271	2331	566	476	73	29	0	0	0	1640	1325	1294	397	373	101	124	70	46	3486	2359	760	236	56	29	12	9	3	3147	1934	858	379	70	48	20	10	14	4001	1394	1320	104	756	1131	623	26859	446	2815	1416	1294	729	277	1524	1592	9	516	3704	2426	1640	3559	1504	445	217	3	55	2754	2084	1034	844	35	98	641	0	15	1465	2050	497	726	616	164	182	72	16
